time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	inc_r_ag	inc_h_ag	inc_r_bg	inc_h_bg	w_r_ag	w_h_ag	w_r_bg	w_h_bg
2851200	10	11	0.164667076	0.648668302	0.10764312	0.249500613	0.034559898	1	1	0.004838386	0.019353543	0.003110391	0.007257579	0.14	0.56	0.09	0.21
2937600	10	11	0.16950546	0.66802184	0.11075351	0.25675819	0.034559889	1	1	0.004838384	0.019353538	0.00311039	0.007257577	0.14	0.56	0.09	0.21
3024000	10	11	0.174343843	0.687375372	0.113863899	0.264015765	0.034559879	1	1	0.004838383	0.019353532	0.003110389	0.007257575	0.14	0.56	0.09	0.21
3110400	10	11	0.179182225	0.706728898	0.116974287	0.271273337	0.034559868	1	1	0.004838382	0.019353526	0.003110388	0.007257572	0.14	0.56	0.09	0.21
3196800	10	11	0.184020604	0.726082418	0.120084674	0.278530907	0.034559857	1	1	0.00483838	0.01935352	0.003110387	0.00725757	0.14	0.56	0.09	0.21
3283200	10	11	0.188858983	0.745435931	0.12319506	0.285788474	0.034559845	1	1	0.004838378	0.019353513	0.003110386	0.007257567	0.14	0.56	0.09	0.21
3369600	10	11	0.193697359	0.764789437	0.126305445	0.293046039	0.034559832	1	1	0.004838376	0.019353506	0.003110385	0.007257565	0.14	0.56	0.09	0.21
3456000	10	11	0.198535734	0.784142935	0.129415829	0.300303601	0.034559819	1	1	0.004838375	0.019353499	0.003110384	0.007257562	0.14	0.56	0.09	0.21
3542400	10	11	0.203374107	0.803496426	0.132526211	0.30756116	0.034559805	1	1	0.004838373	0.019353491	0.003110382	0.007257559	0.14	0.56	0.09	0.21
3628800	10	11	0.208212477	0.822849909	0.135636592	0.314818716	0.03455979	1	1	0.004838371	0.019353483	0.003110381	0.007257556	0.14	0.56	0.09	0.21
3715200	10	11	0.213050846	0.842203383	0.138746972	0.322076268	0.034559775	1	1	0.004838368	0.019353474	0.00311038	0.007257553	0.14	0.56	0.09	0.21
3801600	10	11	0.217889212	0.861556848	0.141857351	0.329333818	0.034559759	1	1	0.004838366	0.019353465	0.003110378	0.007257549	0.14	0.56	0.09	0.21
3888000	10	11	0.222727576	0.880910303	0.144967727	0.336591364	0.034559742	1	1	0.004838364	0.019353456	0.003110377	0.007257546	0.14	0.56	0.09	0.21
3974400	10	11	0.227565937	0.900263749	0.148078102	0.343848906	0.034559724	1	1	0.004838361	0.019353446	0.003110375	0.007257542	0.14	0.56	0.09	0.21
4060800	10	11	0.232404296	0.919617184	0.151188476	0.351106444	0.034559706	1	1	0.004838359	0.019353435	0.003110374	0.007257538	0.14	0.56	0.09	0.21
4147200	10	11	0.237242652	0.938970609	0.154298848	0.358363978	0.034559687	1	1	0.004838356	0.019353425	0.003110372	0.007257534	0.14	0.56	0.09	0.21
4233600	10	11	0.242081006	0.958324022	0.157409218	0.365621508	0.034559667	1	1	0.004838353	0.019353413	0.00311037	0.00725753	0.14	0.56	0.09	0.21
4320000	10	11	0.246919356	0.977677424	0.160519586	0.372879034	0.034559646	1	1	0.00483835	0.019353402	0.003110368	0.007257526	0.14	0.56	0.09	0.21
4406400	10	11	0.251757703	0.997030813	0.163629952	0.380136555	0.034559624	1	1	0.004838347	0.01935339	0.003110366	0.007257521	0.14	0.56	0.09	0.21
4492800	10	11	0.256596048	1.01638419	0.166740316	0.387394071	0.034559602	1	1	0.004838344	0.019353377	0.003110364	0.007257516	0.14	0.56	0.09	0.21
4579200	10	11	0.261434389	1.035737554	0.169850678	0.394651583	0.034559578	1	1	0.004838341	0.019353364	0.003110362	0.007257511	0.14	0.56	0.09	0.21
4665600	10	11	0.266272726	1.055090904	0.172961038	0.401909089	0.034559554	1	1	0.004838338	0.01935335	0.00311036	0.007257506	0.14	0.56	0.09	0.21
4752000	10	11	0.27111106	1.07444424	0.176071396	0.40916659	0.034559529	1	1	0.004838334	0.019353336	0.003110358	0.007257501	0.14	0.56	0.09	0.21
